step,herbivores,predators,resource_biomass,resource_fraction,mean_herbivore_energy,mean_predator_energy,mean_herbivore_speed,mean_predator_speed,herbivore_births,predator_births,herbivore_deaths,predator_deaths,kills
96,26,19,109629.44028812982,0.9900065295740873,118.73850837396847,91.73068261830541,1.7493087705063113,2.1093863086829905,0,0,0,0,0
97,26,19,109623.05837478889,0.989948897829712,119.45436085254826,90.51843377012611,1.7493087705063113,2.1093863086829905,0,0,0,0,0
98,26,19,109616.53532007,0.9898899915108664,120.1693562707065,89.29020641645513,1.7493087705063113,2.1093863086829905,0,0,0,0,0
99,26,19,109609.74471045038,0.9898286690426905,120.8805380246462,88.04979790309089,1.7493087705063113,2.1093863086829905,0,0,0,0,0
100,26,19,109602.59384408047,0.9897640932829337,121.59544535436909,86.82193587555821,1.7493087705063113,2.1093863086829905,0,0,0,0,0
101,26,19,109595.45256152499,0.9896996040696268,122.30788962718806,85.6081008271356,1.7493087705063113,2.1093863086829905,0,0,0,0,0
102,26,19,109588.16586819274,0.9896338017271267,123.02351686882929,84.38030383600183,1.7493087705063113,2.1093863086829905,0,0,0,0,0
103,25,19,109580.69671984024,0.9895663517281128,122.50219579817622,85.6366392958809,1.7524432558422274,2.1093863086829905,0,0,1,0,1
104,25,19,109576.61243172434,0.9895294686436714,123.13772130912696,84.39623078251665,1.7524432558422274,2.1093863086829905,0,0,0,0,0
105,24,19,109571.95216833052,0.9894873842256785,124.07671367983785,85.4757091828938,1.7541731272259689,2.1093863086829905,0,0,1,0,1
106,23,19,109570.27326178996,0.9894722228927981,123.91640890680011,86.41700762319947,1.7513490918431385,2.1093863086829905,0,0,1,0,1
107,22,19,109571.07593916291,0.9894794714552123,124.50900284809327,86.97810657695916,1.7602488715287143,2.1093863086829905,0,0,1,0,1
108,21,19,109573.94874301026,0.989505414254515,123.72404553879302,88.10517919868701,1.7605533407149356,2.1093863086829905,0,0,1,0,1
109,21,19,109579.55383618061,0.9895560309394396,124.33866572407719,86.89071857679804,1.7605533407149356,2.1093863086829905,0,0,0,0,0
110,20,19,109584.19173035488,0.9895979133526301,123.92779859676621,87.96300436283951,1.7610674786800928,2.1093863086829905,0,0,1,0,1
111,19,19,109590.87609181966,0.989658276348909,122.98634593096233,89.08020737402389,1.7644144868323262,2.1093863086829905,0,0,1,0,1
112,19,19,109599.75214869049,0.9897384314079506,123.61007742430952,87.8769810046902,1.7644144868323262,2.1093863086829905,0,0,0,0,0
113,19,19,109607.52317133761,0.9898086074769143,124.19200770386382,86.67710734925949,1.7644144868323262,2.1093863086829905,0,0,0,0,0
114,18,19,109614.37607988468,0.9898704925343437,123.13011652790917,87.5186093198705,1.7634949668765334,2.1093863086829905,0,0,1,0,1
115,18,19,109623.06163840536,0.989948927301737,123.72324750198976,86.29081232873675,1.7634949668765334,2.1093863086829905,0,0,0,0,0
116,18,18,109630.97912163087,0.9900204259801071,124.31221162961462,89.80880849425138,1.7634949668765334,2.095951997178774,0,0,0,1,0
117,17,18,109637.69194304971,0.9900810459834479,123.58959870066204,91.21700636978798,1.7551310169194607,2.095951997178774,0,0,1,0,1
118,17,18,109646.49163267174,0.9901605114095335,124.15608806479179,90.00054915299253,1.7551310169194607,2.095951997178774,0,0,0,0,0
119,17,18,109654.40509626734,0.9902319737887139,114.10346572108598,91.08059494386379,1.7527112995318652,2.095951997178774,1,0,1,0,1
120,17,18,109661.81744821172,0.9902989108888682,114.68888201247847,89.85486604107696,1.7527112995318652,2.095951997178774,0,0,0,0,0
121,17,18,109668.53721757335,0.9903595936354714,115.2585963487692,88.66067955458834,1.7527112995318652,2.095951997178774,0,0,0,0,0
122,16,18,109674.78596317988,0.9904160228112097,115.09414534172564,89.75856588057205,1.7484470274679222,2.095951997178774,0,0,1,0,1
123,16,18,109683.16461584331,0.9904916860712248,115.65304132007526,88.55969572753477,1.7484470274679222,2.095951997178774,0,0,0,0,0
124,16,18,109691.00619168492,0.9905624992694401,116.2067805538997,87.34792269393115,1.7484470274679222,2.095951997178774,0,0,0,0,0
125,16,18,109698.23277628067,0.9906277588011635,116.75807684934577,86.15173707280752,1.7484470274679222,2.095951997178774,0,0,0,0,0
126,15,18,109704.96885019884,0.9906885887857475,122.92334760381245,87.01691336618615,1.7401107202075645,2.095951997178774,0,0,1,0,1
127,15,18,109714.02904131531,0.9907704066655152,123.44345985108389,85.77781514220813,1.7401107202075645,2.095951997178774,0,0,0,0,0
128,15,18,109722.38722012413,0.9908458850367842,123.9634429212672,84.53871691823014,1.7401107202075645,2.095951997178774,0,0,0,0,0
129,14,18,109730.15312594609,0.9909160148983578,123.92152425588266,85.6384027977964,1.764665471755108,2.095951997178774,0,0,1,0,1
130,11,18,109739.78051393523,0.9910029548384591,118.74018278845384,91.64090370472817,1.7770130045444765,2.095951997178774,0,0,3,0,3
131,11,18,109757.8404285726,0.9911660445465481,119.27674406043974,90.43555889654671,1.7770130045444765,2.095951997178774,0,0,0,0,0
132,11,18,109774.83357242229,0.9913195008017744,119.8134573995626,89.21398296905639,1.7770130045444765,2.095951997178774,0,0,0,0,0
133,11,18,109790.86276695447,0.9914642521314261,120.34911508024057,88.00422569080678,1.7770130045444765,2.095951997178774,0,0,0,0,0
134,11,18,109806.07864680223,0.991601658838629,120.88017292186623,86.78264976331644,1.7770130045444765,2.095951997178774,0,0,0,0,0
135,11,18,109820.58912463227,0.9917326954266225,121.40648077141118,85.56972159248015,1.7770130045444765,2.095951997178774,0,0,0,0,0
136,10,18,109834.35379692691,0.9918569970322252,118.72775754708559,86.93705308485602,1.7669872936485884,2.095951997178774,0,0,1,0,1
137,10,18,109850.37518434193,0.992001677859857,119.30556866520521,84.34095669229735,1.7669872936485884,2.114928491927151,0,1,0,1,0
138,10,18,109865.57344153122,0.9921389254259853,119.89166515420193,83.15500727849073,1.7669872936485884,2.114928491927151,0,0,0,0,0
139,10,17,109880.40648063281,0.9922728748972716,120.48056795916166,80.93435156717219,1.7669872936485884,2.1186991652122877,0,0,0,1,0
140,10,17,109894.14215356397,0.992396914624686,121.06991713786658,79.7132955570812,1.7669872936485884,2.1186991652122877,0,0,0,0,0
141,10,17,109907.18208270668,0.9925146714513426,121.65978732365633,78.49677002381245,1.7669872936485884,2.1186991652122877,0,0,0,0,0
142,9,17,109919.69991611292,0.9926277135025994,128.9256093390685,79.73300616527935,1.7553822604270672,2.1186991652122877,0,0,1,0,1
143,9,17,109934.22147333351,0.9927588501428137,129.51311214538464,78.49792761220013,1.7553822604270672,2.1186991652122877,0,0,0,0,0
144,9,17,109948.29085580417,0.9928859034277381,130.0973322467625,77.31996741742728,1.7553822604270672,2.1186991652122877,0,0,0,0,0
145,9,17,109961.71211165769,0.9930071038178445,130.6833856101988,76.11828671689908,1.7553822604270672,2.1186991652122877,0,0,0,0,0
146,9,17,109974.70570390054,0.9931244422000276,131.26223878900024,74.93062768114997,1.7553822604270672,2.1186991652122877,0,0,0,0,0
147,9,17,109987.29153726035,0.9932380983235433,131.8354644174345,73.70849901506188,1.7553822604270672,2.1186991652122877,0,0,0,0,0
148,9,17,109999.71678490403,0.9933503042808708,132.3885077955453,72.5395884626455,1.7553822604270672,2.1186991652122877,0,0,0,0,0
149,8,17,110011.51865361654,0.9934568808268777,133.57033474304887,73.8759841625134,1.7471316122409877,2.1186991652122877,0,0,1,0,1
150,8,17,110025.78379051473,0.9935857018683548,134.10502301312482,72.66992128219536,1.7471316122409877,2.1186991652122877,0,0,0,0,0
151,7,17,110039.68870589903,0.9937112699364526,131.92560481857416,73.98278980333788,1.7646927723417498,2.1186991652122877,0,0,1,0,1
152,7,17,110056.12816018681,0.9938597261088528,132.39454407106066,72.76180648098682,1.7646927723417498,2.1186991652122877,0,0,0,0,0
153,7,17,110071.92143237304,0.994002346946345,132.8668720169798,71.54157276064812,1.7646927723417498,2.1186991652122877,0,0,0,0,0
154,7,17,110086.97455677213,0.9941382838936323,133.3431909473456,70.3357401967075,1.7646927723417498,2.1186991652122877,0,0,0,0,0
155,7,17,110101.41683534067,0.9942687046095204,108.12053642585461,71.71984016921807,1.8165511308765778,2.1186991652122877,1,0,1,0,1
156,7,17,110115.61457425042,0.9943969170147731,108.63842495614169,70.48476161613883,1.8165511308765778,2.1186991652122877,0,0,0,0,0
157,7,17,110129.2672997276,0.9945202076868166,109.16142981440912,69.2966089630209,1.8165511308765778,2.1186991652122877,0,0,0,0,0
158,7,17,110142.35035635073,0.9946383539753468,109.69350682517009,68.07562564066984,1.8165511308765778,2.1186991652122877,0,0,0,0,0
159,7,17,110154.92751740615,0.9947519317837863,110.22982760827139,66.87259289953519,1.8165511308765778,2.1186991652122877,0,0,0,0,0
160,7,17,110167.0573251337,0.9948614697766941,110.7710679638089,65.66879546821698,1.8165511308765778,2.1186991652122877,0,0,0,0,0
161,7,17,110178.80166034949,0.9949675267675769,111.31626306462648,64.4478121458659,1.8165511308765778,2.1186991652122877,0,0,0,0,0
162,7,17,110190.10661457386,0.9950696159369574,111.89821803532745,63.21273359278669,1.8165511308765778,2.1186991652122877,0,0,0,0,0
163,6,17,110200.76485000183,0.9951658649248177,126.40741224527135,64.61167839803777,1.770985926561636,2.1186991652122877,0,0,1,0,1
164,6,17,110213.82335336987,0.9952837894856551,127.0132951478979,63.390695075686715,1.770985926561636,2.1186991652122877,0,0,0,0,0
165,5,17,110226.33063353562,0.9953967362360787,134.5690431765785,64.77479504819729,1.7344155746016967,2.1186991652122877,0,0,1,0,1
166,5,17,110241.29878308444,0.9955319058196325,135.21770236171488,63.60752206885932,1.7344155746016967,2.1186991652122877,0,0,0,0,0
167,5,17,110255.72204300178,0.9956621547879605,135.80128457249208,62.41507289057836,1.7344155746016967,2.1186991652122877,0,0,0,0,0
168,5,17,110269.604816228,0.9957875229017303,136.150035921907,61.239373580241,1.7344155746016967,2.1186991652122877,0,0,0,0,0
